 ,    Personal consumption expenditures (PCE),Goods,  Durable goods,    Motor vehicles and parts,    Furnishings and durable household equipment,    Recreational goods and vehicles,    Other durable goods,  Nondurable goods,    Food and beverages purchased for off-premises consumption,    Clothing and footwear,    Gasoline and other energy goods,    Other nondurable goods,Services,  Household consumption expenditures (for services),    Housing and utilities,    Health care,    Transportation services,    Recreation services,    Food services and accommodations,    Financial services and insurance,    Other services,  Final consumption expenditures of nonprofit institutions serving households (NPISHs)\1\,    Gross output of nonprofit institutions\2\,    Less: Receipts from sales of goods and services by nonprofit institutions\3\,Addenda:,  PCE excluding food and energy\4\,  Energy goods and services\5\,  Market-based PCE\6\,  Market-based PCE excluding food and energy\6\
1929,77.4,43.8,9.8,3.3,3.8,1.5,1.2,33.9,16.3,9,3.4,5.3,33.6,32.3,12.9,2.3,2.4,1.6,3.4,2.9,6.9,1.3, --- , --- ,,56.6,4.6, --- , --- 
1930,70.1,38.2,7.7,2.2,3,1.4,1.1,30.5,14.8,7.8,3.3,4.6,32,30.7,12.5,2.2,2.1,1.5,3.3,2.6,6.5,1.3, --- , --- ,,50.8,4.5, --- , --- 
1931,60.7,31.7,5.9,1.6,2.6,0.9,0.8,25.8,11.9,6.7,2.8,4.4,29,27.8,11.8,2,1.8,1.4,3,2.2,5.6,1.2, --- , --- ,,44.7,4.1, --- , --- 
1932,48.7,24.1,4,1,1.9,0.5,0.6,20.2,9,4.9,2.6,3.6,24.6,23.6,10.5,1.7,1.4,1.1,2.4,1.9,4.5,1, --- , --- ,,35.9,3.8, --- , --- 
1933,45.9,23.8,3.8,1.1,1.7,0.4,0.5,20,9.5,4.5,2.6,3.4,22.2,21.3,9.4,1.5,1.3,1,2.1,1.9,4,0.9, --- , --- ,,32.7,3.8, --- , --- 
1934,51.5,28.5,4.6,1.4,2,0.5,0.6,23.9,11.7,5.5,2.9,3.8,23,22.1,9.1,1.6,1.5,1.1,2.6,1.8,4.4,0.9, --- , --- ,,35.7,4.1, --- , --- 
1935,55.9,31.6,5.5,1.9,2.3,0.6,0.6,26.1,13.3,5.8,3,4,24.3,23.4,9.2,1.7,1.5,1.2,3,2.1,4.6,0.9, --- , --- ,,38.4,4.2, --- , --- 
1936,62.2,36,6.7,2.4,2.9,0.7,0.7,29.2,15.1,6.3,3.3,4.4,26.2,25.3,9.6,1.9,1.7,1.3,3.4,2.2,5.1,0.9, --- , --- ,,42.5,4.6, --- , --- 
1937,66.8,38.4,7.4,2.5,3.2,0.8,0.8,31,16,6.6,3.5,4.8,28.5,27.5,10.2,2,1.8,1.5,4,2.4,5.7,1, --- , --- ,,46,4.9, --- , --- 
1938,64.3,36,6.1,1.7,2.8,0.8,0.8,29.9,15.1,6.5,3.4,4.8,28.3,27.3,10.6,2,1.7,1.4,3.9,2.3,5.4,1, --- , --- ,,44.4,4.8, --- , --- 
1939,67.2,37.9,7.2,2.2,3.2,0.9,0.9,30.8,15.2,6.9,3.6,5.1,29.3,28.3,10.9,2.1,1.8,1.5,4.1,2.3,5.6,1, --- , --- ,,47.1,5, --- , --- 
1940,71.3,40.6,8.3,2.8,3.5,1,1,32.3,15.9,7.2,3.8,5.4,30.7,29.6,11.3,2.2,1.9,1.6,4.4,2.4,5.8,1.1, --- , --- ,,50.1,5.3, --- , --- 
1941,81.1,47.4,10.3,3.5,4.4,1.2,1.2,37.2,18.2,8.5,4.3,6.2,33.6,32.5,12.1,2.3,2.2,1.7,5.3,2.5,6.3,1.1, --- , --- ,,57,5.9, --- , --- 
1942,89,51,7.6,0.7,4.2,1.2,1.5,43.4,21.6,10.6,3.9,7.2,38,36.7,13,2.6,2.6,2,6.9,2.6,7.1,1.3, --- , --- ,,61.8,5.6, --- , --- 
1943,99.9,56.3,7.5,0.8,3.8,1,1.9,48.9,24.3,12.9,3.3,8.4,43.6,42.1,13.5,2.8,3.2,2.3,9.1,2.8,8.2,1.5, --- , --- ,,70.6,5, --- , --- 
1944,108.7,60.5,7.7,0.8,3.8,1,2.1,52.8,26,14.1,3.4,9.3,48.1,46.5,14.2,3.2,3.5,2.6,10.9,3,9.1,1.7, --- , --- ,,77.5,5.2, --- , --- 
1945,120,67.6,9.1,1,4.5,1.2,2.4,58.5,28.2,15.9,4,10.5,52.4,50.6,14.7,3.4,3.8,2.8,12.7,3.2,10,1.7, --- , --- ,,85.9,5.9, --- , --- 
1946,144.3,86.2,17.1,4.1,7.7,2.5,2.8,69.1,34.9,17.5,5.8,10.9,58.1,56.1,16.3,4.3,4.7,3.5,12.7,3.8,10.8,2, --- , --- ,,101.5,7.9, --- , --- 
1947,162,99.4,21.8,6.5,9.6,3,2.8,77.6,40.2,18,6.9,12.4,62.6,60.4,18.3,5,4.9,3.6,12.5,4.2,12,2.1, --- , --- ,,112.5,9.3, --- , --- 
1948,175,107.4,24.5,7.9,10.5,3.1,2.9,83,41.8,19.3,8.2,13.6,67.6,65.3,20.5,5.8,5.2,3.6,12.6,4.7,12.9,2.3, --- , --- ,,122.3,10.9, --- , --- 
1949,178.5,108.1,26.6,10.5,10.1,3.2,2.8,81.5,40.4,18.6,8.3,14.1,70.4,68.1,22.6,6,5.3,3.6,12.4,4.9,13.3,2.4, --- , --- ,,126.9,11.3, --- , --- 
1950,192.2,116.8,32.4,13.7,11.8,4.1,2.9,84.4,41.4,18.9,8.9,15.2,75.4,72.9,25.1,6.4,5.4,3.6,12.7,5.6,14.1,2.5, --- , --- ,,138.6,12.2, --- , --- 
1951,208.5,124.8,31.7,12.1,12.4,4.1,3.2,93,46,20.5,9.6,16.9,83.8,81.1,28.1,6.9,6,3.8,15,6.3,15.1,2.6, --- , --- ,,149.1,13.4, --- , --- 
