year,cpi,cpif,cpi_food,cpi_foodaway,cpi_clothing,cpi_foodin,cpi_foodout,cpi_alcohol,cpi_tobacco,cpi_rent,cpi_finservs_net,cpi_health,cpi_transport,cpi_gasoline,cpi_education,cpi_baby,cpi_hoper,cpi_homeinsur,cpi_recreation,cpi_all,cpi79,cpi79b,cpi_food79,cpi_food79b,cpi_foodaway79,cpi_foodaway79b
1967,46.005512,35.308334,42.954666,41.163559,,,,,,,,,,,,,,,,,46.005512,72.599998,42.954666,81.791664,41.163559,75.916664
1968,47.933884,37.125,44.340298,43.282108,,,,,,,,,,,,,,,,,47.933884,72.599998,44.340298,81.791664,43.282108,75.916664
1969,50.550968,39.183334,46.510445,45.916576,,,,,,,,,,,,,,,,,50.550968,72.599998,46.510445,81.791664,45.916576,75.916664
1970,53.443527,40.358334,48.83342,49.363338,,,,,,,,,,,,,,,,,53.443527,72.599998,48.83342,81.791664,49.363338,75.916664
1971,55.785126,42.116665,49.984715,51.909988,,,,,,,,,,,,,,,,,55.785126,72.599998,49.984715,81.791664,51.909988,75.916664
1972,57.575756,48.183334,52.226185,53.973656,,,,,,,,,,,,,,,,,57.575756,72.599998,52.226185,81.791664,53.973656,75.916664
1973,61.157028,55.125,60.713196,58.210758,,,,,,,,,,,,,,,,,61.157028,72.599998,60.713196,81.791664,58.210758,75.916664
1974,67.906334,59.816666,69.730003,65.63118,,,,,,,,,,,,,,,,,67.906334,72.599998,69.730003,81.791664,65.63118,75.916664
1975,74.104683,61.674999,75.517067,71.778275,,,,,,,,,,,,,,,,,74.104683,72.599998,75.517067,81.791664,71.778275,75.916664
1976,78.374657,65.533333,77.116661,76.619102,,,,,,,,,,,,,,,,,78.374657,72.599998,77.116661,81.791664,76.619102,75.916664
1977,83.471077,72.066666,81.691292,82.425911,,,,,,,,,,,,,,,,,83.471077,72.599998,81.691292,81.791664,82.425911,75.916664
1978,89.807159,79.941666,90.290375,89.934143,,,,,,,,,,,,,,,,,89.807159,72.599998,90.290375,81.791664,89.934143,75.916664
1979,100,86.833336,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,72.599998,100,81.791664,100,75.916664
1980,113.49863,93.633331,108.0489,109.93414,107.06714,108.06846,109.88142,108.13517,107.78443,108.8829,108.17942,110.96296,117.87234,130.89803,110.04637,110.04637,108.01001,108.17942,111,113.49862,113.49863,72.599998,108.0489,81.791664,109.93414,75.916664
1981,125.20662,97.400002,115.97555,119.78046,112.2497,115.89242,119.76285,115.76971,116.46706,118.30417,113.32454,122.81481,132.19858,148.70624,123.49304,123.49304,116.39549,113.32454,122.71429,125.20661,125.20662,72.599998,115.97555,81.791664,119.78046,75.916664
1982,132.92012,99.491669,119.92869,126.19101,115.19434,119.92665,126.21871,121.02628,129.49101,127.32167,120.58047,137.03703,137.58865,150.98935,139.87636,139.87636,122.65332,120.58047,134.71428,132.9201,132.92012,72.599998,119.92869,81.791664,126.19101,75.916664
1983,137.19008,103.325,121.22263,131.70143,118.0212,121.14915,131.7523,125.65707,154.79042,134.72409,132.45383,149.03703,140.85106,152.05479,154.09583,154.09583,125.40676,132.45383,144.57143,137.19008,137.19008,72.599998,121.22263,81.791664,131.70143,75.916664
1984,143.11295,105.66666,125.65462,137.26675,120.25912,125.67237,137.2859,128.91113,164.82036,141.72275,142.74406,158.22223,147.09219,153.57686,169.70633,169.70633,127.53442,142.74406,149.28572,143.11295,143.11295,72.599998,125.65462,81.791664,137.26675,75.916664
1985,148.20937,109.075,127.46816,142.68935,123.67491,127.50611,142.68774,133.16646,174.70059,150.47107,157.25594,168.14815,150.92198,154.64232,185.00772,185.00772,129.91238,157.25594,158.14285,148.20937,148.20937,72.599998,127.46816,81.791664,142.68935,75.916664
1986,150.96419,113.50833,131.1564,148.26566,124.73499,131.1736,148.22134,139.04881,186.67665,159.21938,178.10027,180.74074,145.10638,134.24658,200.30911,200.30911,131.66458,178.10027,165.14285,150.96419,150.96419,72.599998,131.1564,81.791664,148.26566,75.916664
1987,156.47383,118.175,136.78044,154.16026,130.2709,136.79707,154.15019,142.8035,200,165.67967,192.87599,192.74074,149.50354,134.85541,216.3833,216.3833,134.04256,192.87599,170.71428,156.47383,156.47383,72.599998,136.78044,81.791664,154.16026,75.916664
1988,162.94766,125.06667,142.50638,160.39517,135.92462,142.54279,160.4743,148.43555,218.26347,172.00539,206.59631,205.33333,154.1844,135.92085,233.38486,233.38486,136.92116,206.59631,177.57143,162.94766,162.94766,72.599998,142.50638,81.791664,160.39517,75.916664
1989,170.7989,132.35834,151.88997,167.80461,139.69376,151.83374,167.85243,154.56821,246.10779,178.73486,219.78893,221.18518,161.84398,143.5312,251.46832,251.46832,139.17397,219.78893,185,170.7989,170.7989,72.599998,151.88997,81.791664,167.80461,75.916664
1990,180.02754,136.22501,161.79317,175.71899,146.17197,161.73595,175.75757,161.82729,271.70657,186.27187,234.69656,241.18518,170.92198,155.40335,271.56107,271.56107,141.80225,234.69656,194.57143,180.02754,180.02754,72.599998,161.79317,81.791664,175.71899,75.916664
1991,187.6033,137.89166,166.03159,181.65753,151.5901,166.01466,181.68643,178.7234,303.44312,192.86676,252.63852,262.22223,175.60284,156.01218,295.8269,288.6694,145.18147,252.63852,206.71428,187.6033,187.6033,72.599998,166.03159,81.791664,181.65753,75.916664
1992,193.2507,140.84166,167.25421,185.32382,155.35925,167.23717,185.37549,184.35544,329.04193,197.71198,271.10818,281.62964,179.43262,156.77321,322.25656,301.43277,147.6846,271.10818,215.57143,193.25069,193.2507,72.599998,167.25421,81.791664,185.32382,75.916664
