state_st,year,min_wage
ALABAMA,98,0
ALABAMA,100,0
ALABAMA,101,0
ALABAMA,102,0
ALABAMA,103,0
ALABAMA,104,0
ALABAMA,105,0
ALABAMA,106,0
ALABAMA,107,0
ALABAMA,108,0
ALABAMA,109,0
ALABAMA,110,0
ALASKA,98,5.65
ALASKA,100,5.65
ALASKA,101,5.65
ALASKA,102,5.65
ALASKA,103,7.15
ALASKA,104,7.15
ALASKA,105,7.15
ALASKA,106,7.15
ALASKA,107,7.15
ALASKA,108,7.15
ALASKA,109,7.15
ALASKA,110,7.75
ARIZONA,98,0
ARIZONA,100,0
ARIZONA,101,0
ARIZONA,102,0
ARIZONA,103,0
ARIZONA,104,0
ARIZONA,105,0
ARIZONA,106,0
ARIZONA,107,6.75
ARIZONA,108,6.9
ARIZONA,109,7.25
ARIZONA,110,7.25
ARKANSAS,98,5.15
ARKANSAS,100,5.15
ARKANSAS,101,5.15
ARKANSAS,102,5.15
ARKANSAS,103,5.15
ARKANSAS,104,5.15
ARKANSAS,105,5.15
ARKANSAS,106,5.15
ARKANSAS,107,6.25
ARKANSAS,108,6.25
ARKANSAS,109,6.25
ARKANSAS,110,6.25
CALIFORNIA,98,5.15
CALIFORNIA,100,5.75
CALIFORNIA,101,6.25
CALIFORNIA,102,6.75
CALIFORNIA,103,6.75
CALIFORNIA,104,6.75
CALIFORNIA,105,6.75
CALIFORNIA,106,6.75
CALIFORNIA,107,7.5
CALIFORNIA,108,8
CALIFORNIA,109,8
CALIFORNIA,110,8
COLORADO,98,5.15
COLORADO,100,5.15
COLORADO,101,5.15
COLORADO,102,5.15
COLORADO,103,5.15
COLORADO,104,5.15
COLORADO,105,5.15
COLORADO,106,5.15
COLORADO,107,6.85
COLORADO,108,7.02
COLORADO,109,7.28
COLORADO,110,7.24
CONNECTICUT,98,5.18
CONNECTICUT,100,6.15
CONNECTICUT,101,6.4
CONNECTICUT,102,6.7
CONNECTICUT,103,6.9
CONNECTICUT,104,7.1
CONNECTICUT,105,7.1
CONNECTICUT,106,7.4
CONNECTICUT,107,7.65
CONNECTICUT,108,7.65
CONNECTICUT,109,8
CONNECTICUT,110,8.25
DELAWARE,98,5.15
DELAWARE,100,5.65
DELAWARE,101,6.15
DELAWARE,102,6.15
DELAWARE,103,6.15
DELAWARE,104,6.15
DELAWARE,105,6.15
DELAWARE,106,6.15
DELAWARE,107,6.65
DELAWARE,108,7.15
DELAWARE,109,7.15
DELAWARE,110,7.25
DISTRICT OF COLUMBIA,98,6.15
DISTRICT OF COLUMBIA,100,6.15
DISTRICT OF COLUMBIA,101,6.15
DISTRICT OF COLUMBIA,102,6.15
DISTRICT OF COLUMBIA,103,6.15
DISTRICT OF COLUMBIA,104,6.15
DISTRICT OF COLUMBIA,105,6.6
DISTRICT OF COLUMBIA,106,7
DISTRICT OF COLUMBIA,107,7
DISTRICT OF COLUMBIA,108,7
DISTRICT OF COLUMBIA,109,7.55
DISTRICT OF COLUMBIA,110,8.25
FEDERAL (FLSA),98,5.15
FEDERAL (FLSA),100,5.15
FEDERAL (FLSA),101,5.15
FEDERAL (FLSA),102,5.15
FEDERAL (FLSA),103,5.15
FEDERAL (FLSA),104,5.15
FEDERAL (FLSA),105,5.15
FEDERAL (FLSA),106,5.15
FEDERAL (FLSA),107,5.15
FEDERAL (FLSA),108,5.85
FEDERAL (FLSA),109,6.55
FEDERAL (FLSA),110,7.25
FLORIDA,98,0
FLORIDA,100,0
FLORIDA,101,0
FLORIDA,102,0
FLORIDA,103,0
FLORIDA,104,0
FLORIDA,105,0
FLORIDA,106,6.4
FLORIDA,107,6.67
FLORIDA,108,6.79
FLORIDA,109,7.21
FLORIDA,110,7.25
GEORGIA,98,3.25
GEORGIA,100,3.25
GEORGIA,101,3.25
GEORGIA,102,5.15
GEORGIA,103,5.15
GEORGIA,104,5.15
GEORGIA,105,5.15
GEORGIA,106,5.15
GEORGIA,107,5.15
GEORGIA,108,5.15
GEORGIA,109,5.15
GEORGIA,110,5.15
HAWAII,98,5.25
HAWAII,100,5.25
HAWAII,101,5.25
HAWAII,102,5.75
HAWAII,103,6.25
HAWAII,104,6.25
HAWAII,105,6.25
HAWAII,106,6.75
HAWAII,107,7.25
HAWAII,108,7.25
HAWAII,109,7.25
HAWAII,110,7.25
IDAHO,98,5.15
IDAHO,100,5.15
IDAHO,101,5.15
IDAHO,102,5.15
IDAHO,103,5.15
IDAHO,104,5.15
IDAHO,105,5.15
IDAHO,106,5.15
IDAHO,107,5.15
IDAHO,108,5.85
IDAHO,109,6.55
IDAHO,110,7.25
ILLINOIS,98,5.15
ILLINOIS,100,5.15
ILLINOIS,101,5.15
ILLINOIS,102,5.15
ILLINOIS,103,5.15
ILLINOIS,104,5.5
ILLINOIS,105,6.5
ILLINOIS,106,6.5
ILLINOIS,107,6.5
ILLINOIS,108,7.5
ILLINOIS,109,7.75
ILLINOIS,110,8
INDIANA,98,3.35
INDIANA,100,5.15
INDIANA,101,5.15
INDIANA,102,5.15
INDIANA,103,5.15
INDIANA,104,5.15
INDIANA,105,5.15
INDIANA,106,5.15
INDIANA,107,5.15
INDIANA,108,5.85
INDIANA,109,6.55
INDIANA,110,7.25
IOWA,98,5.15
IOWA,100,5.15
IOWA,101,5.15
IOWA,102,5.15
IOWA,103,5.15
IOWA,104,5.15
IOWA,105,5.15
IOWA,106,5.15
IOWA,107,5.15
IOWA,108,7.25
IOWA,109,7.25
IOWA,110,7.25
KANSAS,98,2.65
KANSAS,100,2.65
KANSAS,101,2.65
KANSAS,102,2.65
KANSAS,103,2.65
KANSAS,104,2.65
KANSAS,105,2.65
KANSAS,106,2.65
KANSAS,107,2.65
KANSAS,108,2.65
KANSAS,109,2.65
KANSAS,110,7.25
KENTUCKY,98,4.25
KENTUCKY,100,5.15
KENTUCKY,101,5.15
KENTUCKY,102,5.15
KENTUCKY,103,5.15
KENTUCKY,104,5.15
KENTUCKY,105,5.15
KENTUCKY,106,5.15
KENTUCKY,107,5.15
KENTUCKY,108,5.85
KENTUCKY,109,6.55
KENTUCKY,110,7.25
LOUISIANA,98,0
LOUISIANA,100,0
LOUISIANA,101,0
LOUISIANA,102,0
LOUISIANA,103,0
LOUISIANA,104,0
LOUISIANA,105,0
LOUISIANA,106,0
LOUISIANA,107,0
LOUISIANA,108,0
LOUISIANA,109,0
LOUISIANA,110,0
MAINE,98,5.15
MAINE,100,5.15
MAINE,101,5.15
MAINE,102,5.75
MAINE,103,6.25
MAINE,104,6.25
MAINE,105,6.35
MAINE,106,6.5
MAINE,107,6.75
MAINE,108,7
MAINE,109,7.25
MAINE,110,7.5
MARYLAND,98,5.15
MARYLAND,100,5.15
MARYLAND,101,5.15
MARYLAND,102,5.15
MARYLAND,103,5.15
MARYLAND,104,5.15
MARYLAND,105,5.15
MARYLAND,106,5.15
MARYLAND,107,6.15
MARYLAND,108,6.15
MARYLAND,109,6.55
MARYLAND,110,7.25
MASSACHUSETTS,98,5.25
MASSACHUSETTS,100,6
MASSACHUSETTS,101,6.75
MASSACHUSETTS,102,6.75
MASSACHUSETTS,103,6.75
MASSACHUSETTS,104,6.75
MASSACHUSETTS,105,6.75
MASSACHUSETTS,106,6.75
MASSACHUSETTS,107,7.5
MASSACHUSETTS,108,8
MASSACHUSETTS,109,8
MASSACHUSETTS,110,8
MICHIGAN,98,5.15
MICHIGAN,100,5.15
MICHIGAN,101,5.15
MICHIGAN,102,5.15
MICHIGAN,103,5.15
MICHIGAN,104,5.15
MICHIGAN,105,5.15
MICHIGAN,106,5.15
MICHIGAN,107,6.95
MICHIGAN,108,7.15
MICHIGAN,109,7.4
MICHIGAN,110,7.4
MINNESOTA,98,5.15
MINNESOTA,100,4.9
MINNESOTA,101,4.9
MINNESOTA,102,4.9
MINNESOTA,103,4.9
MINNESOTA,104,4.9
MINNESOTA,105,4.9
MINNESOTA,106,5.25
MINNESOTA,107,5.25
MINNESOTA,108,5.25
MINNESOTA,109,5.25
MINNESOTA,110,5.25
MISSISSIPPI,98,0
MISSISSIPPI,100,0
MISSISSIPPI,101,0
MISSISSIPPI,102,0
MISSISSIPPI,103,0
MISSISSIPPI,104,0
MISSISSIPPI,105,0
MISSISSIPPI,106,0
MISSISSIPPI,107,0
MISSISSIPPI,108,0
MISSISSIPPI,109,0
MISSISSIPPI,110,0
MISSOURI,98,5.15
MISSOURI,100,5.15
MISSOURI,101,5.15
MISSOURI,102,5.15
MISSOURI,103,5.15
MISSOURI,104,5.15
MISSOURI,105,5.15
MISSOURI,106,5.15
MISSOURI,107,6.5
MISSOURI,108,6.65
MISSOURI,109,7.05
MISSOURI,110,7.25
MONTANA,98,5.15
MONTANA,100,4
MONTANA,101,4
MONTANA,102,4
MONTANA,103,4
MONTANA,104,4
MONTANA,105,4
MONTANA,106,4
MONTANA,107,4
MONTANA,108,4
MONTANA,109,4
MONTANA,110,4
NEBRASKA,98,5.15
NEBRASKA,100,5.15
NEBRASKA,101,5.15
NEBRASKA,102,5.15
NEBRASKA,103,5.15
NEBRASKA,104,5.15
NEBRASKA,105,5.15
NEBRASKA,106,5.15
NEBRASKA,107,5.15
NEBRASKA,108,5.85
NEBRASKA,109,6.55
NEBRASKA,110,7.25
NEVADA,98,5.15
NEVADA,100,5.15
NEVADA,101,5.15
NEVADA,102,5.15
NEVADA,103,5.15
NEVADA,104,5.15
NEVADA,105,5.15
NEVADA,106,5.15
NEVADA,107,6.15
NEVADA,108,6.33
NEVADA,109,6.55
NEVADA,110,6.55
NEW HAMPSHIRE,98,5.15
NEW HAMPSHIRE,100,5.15
NEW HAMPSHIRE,101,5.15
NEW HAMPSHIRE,102,5.15
NEW HAMPSHIRE,103,5.15
NEW HAMPSHIRE,104,5.15
NEW HAMPSHIRE,105,5.15
NEW HAMPSHIRE,106,5.15
NEW HAMPSHIRE,107,5.15
NEW HAMPSHIRE,108,6.5
NEW HAMPSHIRE,109,7.25
NEW HAMPSHIRE,110,7.25
NEW JERSEY,98,5.05
NEW JERSEY,100,5.15
NEW JERSEY,101,5.15
NEW JERSEY,102,5.15
NEW JERSEY,103,5.15
NEW JERSEY,104,5.15
NEW JERSEY,105,5.15
NEW JERSEY,106,6.15
NEW JERSEY,107,7.15
NEW JERSEY,108,7.15
NEW JERSEY,109,7.15
NEW JERSEY,110,7.25
NEW MEXICO,98,4.25
NEW MEXICO,100,4.25
NEW MEXICO,101,4.25
NEW MEXICO,102,4.25
NEW MEXICO,103,4.25
NEW MEXICO,104,5.15
NEW MEXICO,105,5.15
NEW MEXICO,106,5.15
NEW MEXICO,107,5.15
NEW MEXICO,108,6.5
NEW MEXICO,109,7.5
NEW MEXICO,110,7.5
NEW YORK,98,4.25
NEW YORK,100,4.25
NEW YORK,101,5.15
NEW YORK,102,5.15
NEW YORK,103,5.15
NEW YORK,104,5.15
NEW YORK,105,6
NEW YORK,106,6.75
NEW YORK,107,7.15
NEW YORK,108,7.15
NEW YORK,109,7.15
NEW YORK,110,7.25
NORTH CAROLINA,98,5.15
NORTH CAROLINA,100,5.15
NORTH CAROLINA,101,5.15
NORTH CAROLINA,102,5.15
NORTH CAROLINA,103,5.15
NORTH CAROLINA,104,5.15
NORTH CAROLINA,105,5.15
NORTH CAROLINA,106,5.15
NORTH CAROLINA,107,6.15
NORTH CAROLINA,108,6.15
NORTH CAROLINA,109,6.55
NORTH CAROLINA,110,7.25
NORTH DAKOTA,98,5.15
NORTH DAKOTA,100,5.15
NORTH DAKOTA,101,5.15
NORTH DAKOTA,102,5.15
NORTH DAKOTA,103,5.15
NORTH DAKOTA,104,5.15
NORTH DAKOTA,105,5.15
NORTH DAKOTA,106,5.15
NORTH DAKOTA,107,5.15
NORTH DAKOTA,108,5.85
NORTH DAKOTA,109,6.55
NORTH DAKOTA,110,7.25
OHIO,98,4.25
OHIO,100,2.8
OHIO,101,2.8
OHIO,102,2.8
OHIO,103,2.8
OHIO,104,2.8
OHIO,105,2.8
OHIO,106,2.8
OHIO,107,6.85
OHIO,108,7
OHIO,109,7.3
OHIO,110,7.3
OKLAHOMA,98,5.15
OKLAHOMA,100,2
OKLAHOMA,101,2
OKLAHOMA,102,2
OKLAHOMA,103,2
OKLAHOMA,104,2
OKLAHOMA,105,2
OKLAHOMA,106,2
OKLAHOMA,107,2
OKLAHOMA,108,2
OKLAHOMA,109,2
OKLAHOMA,110,2
OREGON,98,6
OREGON,100,6.5
OREGON,101,6.5
OREGON,102,6.5
OREGON,103,6.9
OREGON,104,7.05
OREGON,105,7.25
OREGON,106,7.5
OREGON,107,7.8
OREGON,108,7.95
OREGON,109,8.4
OREGON,110,8.4
PENNSYLVANIA,98,5.15
PENNSYLVANIA,100,5.15
PENNSYLVANIA,101,5.15
PENNSYLVANIA,102,5.15
PENNSYLVANIA,103,5.15
PENNSYLVANIA,104,5.15
PENNSYLVANIA,105,5.15
PENNSYLVANIA,106,5.15
PENNSYLVANIA,107,6.25
PENNSYLVANIA,108,7.15
PENNSYLVANIA,109,7.15
PENNSYLVANIA,110,7.25
RHODE ISLAND,98,5.15
RHODE ISLAND,100,5.65
RHODE ISLAND,101,6.15
RHODE ISLAND,102,6.15
RHODE ISLAND,103,6.15
RHODE ISLAND,104,6.75
RHODE ISLAND,105,6.75
RHODE ISLAND,106,6.75
RHODE ISLAND,107,7.4
RHODE ISLAND,108,7.4
RHODE ISLAND,109,7.4
RHODE ISLAND,110,7.4
SOUTH CAROLINA,98,0
SOUTH CAROLINA,100,0
SOUTH CAROLINA,101,0
SOUTH CAROLINA,102,0
SOUTH CAROLINA,103,0
SOUTH CAROLINA,104,0
SOUTH CAROLINA,105,0
SOUTH CAROLINA,106,0
