year,poverty_line,fsize,kids,nadults
1986,5701,1,0,1
1986,7338,2,0,2
1986,7553,2,1,1
1986,8571,3,0,3
1986,8820,3,1,2
1986,8829,3,2,1
1986,11302,4,0,4
1986,11487,4,1,3
1986,11113,4,2,2
1986,11151,4,3,1
1986,13630,5,0,5
1986,13828,5,1,4
1986,13405,5,2,3
1986,13077,5,3,2
1986,12877,5,4,1
1986,15677,6,0,6
1986,15739,6,1,5
1986,15415,6,2,4
1986,15104,6,3,3
1986,14642,6,4,2
1986,14368,6,5,1
1986,18039,7,0,7
1986,18151,7,1,6
1986,17763,7,2,5
1986,17492,7,3,4
1986,16988,7,4,3
1986,16400,7,5,2
1986,15755,7,6,1
1986,20175,8,0,8
1986,20353,8,1,7
1986,19986,8,2,6
1986,19665,8,3,5
1986,19210,8,4,4
1986,18632,8,5,3
1986,18030,8,6,2
1986,17877,8,7,1
1986,24269,9,0,9
1986,24386,9,1,8
1986,24062,9,2,7
1986,23790,9,3,6
1986,23343,9,4,5
1986,22728,9,5,4
1986,22171,9,6,3
1986,22033,9,7,2
1986,21185,9,8,1
1987,5909,1,0,1
1987,7606,2,0,2
1987,7829,2,1,1
1987,8885,3,0,3
1987,9142,3,1,2
1987,9151,3,2,1
1987,11715,4,0,4
1987,11907,4,1,3
1987,11519,4,2,2
1987,11559,4,3,1
1987,14128,5,0,5
1987,14334,5,1,4
1987,13895,5,2,3
1987,13555,5,3,2
1987,13348,5,4,1
1987,16250,6,0,6
1987,16314,6,1,5
1987,15978,6,2,4
1987,15656,6,3,3
1987,15177,6,4,2
1987,14893,6,5,1
1987,18698,7,0,7
1987,18814,7,1,6
1987,18412,7,2,5
1987,18131,7,3,4
1987,17609,7,4,3
1987,16999,7,5,2
1987,16330,7,6,1
1987,20912,8,0,8
1987,21096,8,1,7
1987,20717,8,2,6
1987,20384,8,3,5
1987,19912,8,4,4
1987,19313,8,5,3
1987,18689,8,6,2
1987,18530,8,7,1
1987,25156,9,0,9
1987,25277,9,1,8
1987,24941,9,2,7
1987,24659,9,3,6
1987,24196,9,4,5
1987,23558,9,5,4
1987,22981,9,6,3
1987,22839,9,7,2
1987,21959,9,8,1
1988,6155,1,0,1
1988,7922,2,0,2
1988,8154,2,1,1
1988,9254,3,0,3
1988,9522,3,1,2
1988,9531,3,2,1
1988,12202,4,0,4
1988,12402,4,1,3
1988,11997,4,2,2
1988,12039,4,3,1
1988,14715,5,0,5
1988,14929,5,1,4
1988,14472,5,2,3
1988,14118,5,3,2
1988,13902,5,4,1
1988,16925,6,0,6
1988,16992,6,1,5
1988,16642,6,2,4
1988,16306,6,3,3
1988,15807,6,4,2
1988,15511,6,5,1
1988,19474,7,0,7
1988,19596,7,1,6
1988,19177,7,2,5
1988,18844,7,3,4
1988,18340,7,4,3
1988,17705,7,5,2
1988,17008,7,6,1
1988,21780,8,0,8
1988,21973,8,1,7
1988,21577,8,2,6
1988,21231,8,3,5
1988,20739,8,4,4
1988,20115,8,5,3
1988,19465,8,6,2
1988,19300,8,7,1
1988,26200,9,0,9
1988,26327,9,1,8
1988,25977,9,2,7
1988,25683,9,3,6
1988,25200,9,4,5
1988,24536,9,5,4
1988,23936,9,6,3
1988,23787,9,7,2
1988,22871,9,8,1
1989,6451,1,0,1
1989,8303,2,0,2
1989,8547,2,1,1
1989,9699,3,0,3
1989,9981,3,1,2
1989,9990,3,2,1
1989,12790,4,0,4
